Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
31,No,Travel_Frequently,1125,Research & Development,1,3,Life Sciences,1,1956,4,Male,48,1,2,Research Scientist,1,5003,5771,1,Y,No,21,4,2,80,0,10,6,3,10,8,8,7
33,No,Travel_Rarely,217,Sales,10,4,Marketing,1,1924,2,child,43,3,2,Sales Executive,3,5487,10410,1,Y,No,14,3,2,80,0,10,2,2,10,4,0,9
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
42,No,Travel_Frequently,570,Research & Development,8,3,Life Sciences,1,809,2,Male,66,3,5,Manager,4,18430,16225,1,Y,No,13,3,2,80,1,24,4,2,24,7,14,9
27,No,Travel_Frequently,294,Research & Development,10,2,Life Sciences,1,733,4,Male,32,3,3,Manufacturing Director,1,8793,4809,1,Y,No,21,4,3,80,2,9,4,2,9,7,1,7
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,286,2,Female,73,3,1,Laboratory Technician,4,2153,7703,1,Y,No,13,3,1,80,0,8,2,3,8,1,1,7
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
42,No,Travel_Rarely,855,Research & Development,12,3,Medical,1,1768,2,Male,57,3,1,Laboratory Technician,2,2766,8952,8,Y,No,22,4,2,80,3,7,6,2,5,3,0,4
41,No,Travel_Rarely,427,Human Resources,10,4,Human Resources,1,731,2,child,73,2,5,Manager,4,19141,8861,3,Y,No,15,3,2,80,3,23,2,2,21,6,12,6
44,No,Travel_Rarely,1199,Research & Development,4,2,Life Sciences,1,1288,3,Male,92,4,5,Manager,1,19190,17477,1,Y,No,14,3,4,80,2,26,4,2,25,9,14,13
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,274,3,Male,60,2,2,Manufacturing Director,1,4298,9679,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0
30,No,Travel_Rarely,1358,Sales,16,1,Life Sciences,1,1479,4,Male,96,3,2,Sales Executive,3,5301,2939,8,Y,No,15,3,3,80,2,4,2,2,2,1,2,2
40,No,Travel_Rarely,611,Sales,7,4,Medical,1,1740,2,Male,88,3,5,Manager,2,19833,4349,1,Y,No,14,3,2,80,0,21,3,2,21,8,12,8
38,No,Travel_Rarely,1206,Research & Development,9,2,Life Sciences,1,1940,2,Male,71,3,1,Research Scientist,4,4771,14293,2,Y,No,19,3,4,80,2,10,0,4,5,2,0,3
48,No,Travel_Rarely,855,Research & Development,4,3,Life Sciences,1,1363,4,Male,54,3,3,Manufacturing Director,4,7898,18706,1,Y,No,11,3,3,80,0,11,2,3,10,9,0,8
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,252,4,Female,72,3,1,Research Scientist,2,2756,4673,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6
27,No,Travel_Rarely,205,Sales,10,3,Marketing,1,1403,4,Female,98,2,2,Sales Executive,4,5769,7100,1,Y,Yes,11,3,4,80,0,6,3,3,6,2,4,4
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,2886,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
40,No,Travel_Rarely,896,Research & Development,2,3,Medical,1,1474,3,Male,68,3,1,Research Scientist,3,2345,8045,2,Y,No,14,3,3,80,1,8,3,4,3,1,1,2
40,No,Travel_Rarely,523,Research & Development,2,3,Life Sciences,1,1346,3,Male,98,3,2,Research Scientist,4,4661,22455,1,Y,No,13,3,3,80,0,9,4,3,9,8,8,8
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,4,Female,94,3,3,Healthcare Representative,4,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6
24,No,Travel_Rarely,1476,Sales,4,1,Medical,1,1445,4,Female,42,3,2,Sales Executive,3,4162,15211,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,825,4,Male,31,3,5,Research Director,2,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8
31,No,Non-Travel,976,Research & Development,3,2,Medical,1,1948,3,Male,48,3,1,Research Scientist,1,3065,3995,1,Y,Yes,13,3,4,80,1,4,3,4,4,2,2,3
43,No,Travel_Rarely,1179,Sales,2,3,Medical,1,1706,4,Male,73,3,2,Sales Executive,4,7847,6069,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8
35,No,Travel_Rarely,583,Research & Development,25,4,Medical,1,1014,3,Female,57,3,3,Healthcare Representative,3,10388,6975,1,Y,Yes,11,3,3,80,1,16,3,2,16,10,10,1
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,267,2,Male,65,4,1,Research Scientist,1,3564,22977,1,Y,Yes,12,3,1,80,1,8,3,2,8,7,1,7
50,No,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,1,1317,4,Female,43,3,4,Research Director,1,16880,22422,4,Y,Yes,11,3,2,80,0,25,2,3,3,2,1,2
37,Yes,Travel_Rarely,625,Sales,1,4,Life Sciences,1,970,1,Male,46,2,3,Sales Executive,3,10609,14922,5,Y,No,11,3,3,80,0,17,2,1,14,1,11,7
48,No,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
45,No,Non-Travel,1238,Research & Development,1,1,Life Sciences,1,1712,3,Male,74,2,3,Healthcare Representative,3,10748,3395,3,Y,No,23,4,4,80,1,25,3,2,23,15,14,4
40,No,Travel_Rarely,1342,Sales,9,2,Medical,1,1548,1,Male,47,3,2,Sales Executive,1,5473,19345,0,Y,No,12,3,4,80,0,9,5,4,8,4,7,1
46,No,Travel_Rarely,1319,Sales,3,3,Technical Degree,1,1863,1,Female,45,4,4,Sales Executive,1,13225,7739,2,Y,No,12,3,4,80,1,25,5,3,19,17,2,8
29,No,Travel_Frequently,574,Research & Development,20,1,Medical,1,1852,4,Male,40,3,1,Laboratory Technician,4,3812,7003,1,Y,No,13,3,2,80,0,11,3,4,11,8,3,10
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,1,202,2,Female,54,3,2,Research Scientist,2,5605,8504,1,Y,No,11,3,1,80,1,20,2,3,20,7,2,13
34,No,Travel_Rarely,678,Research & Development,19,3,Life Sciences,1,1701,2,Female,35,2,1,Research Scientist,4,2929,20338,1,Y,No,12,3,2,80,0,10,3,3,10,9,8,7
35,No,Travel_Rarely,670,Research & Development,10,4,Medical,1,1587,1,Female,51,3,2,Healthcare Representative,3,6142,4223,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,1,261,2,Male,50,2,2,Manufacturing Director,3,5916,15497,3,Y,Yes,13,3,1,80,0,8,1,3,1,0,0,1
55,No,Travel_Rarely,1229,Research & Development,4,4,Life Sciences,1,1501,4,Male,30,3,2,Healthcare Representative,3,4035,16143,0,Y,Yes,16,3,2,80,0,4,2,3,3,2,1,2
41,No,Travel_Rarely,1206,Sales,23,2,Life Sciences,1,1678,4,Male,80,3,3,Sales Executive,3,7082,11591,3,Y,Yes,16,3,4,80,0,21,2,3,2,0,0,2
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
42,No,Travel_Frequently,555,Sales,26,3,Marketing,1,404,3,Female,77,3,4,Sales Executive,2,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,1102,9241,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0
38,No,Travel_Frequently,1189,Research & Development,1,3,Life Sciences,1,1668,4,Male,90,3,2,Research Scientist,4,4735,9867,7,Y,No,15,3,4,80,2,19,4,4,13,11,2,9
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,338,3,Female,63,2,1,Research Scientist,4,2911,14776,1,Y,No,13,3,3,80,1,2,2,2,2,2,0,2
35,No,Travel_Frequently,200,Research & Development,18,2,Life Sciences,1,1412,3,Male,60,3,3,Manufacturing Director,4,9362,19944,2,Y,No,11,3,3,80,0,10,2,3,2,2,2,2
