Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
57,No,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,1483,2,Male,93,4,2,Research Scientist,Married,4900,2721,0,Y,No,24,4,1,80,1,13,2,2,12,9,2,8
51,No,Travel_Rarely,1405,Research & Development,11,2,Technical Degree,1,1367,4,Female,82,2,4,Manufacturing Director,Single,13142,24439,3,Y,No,16,3,2,80,0,29,1,2,5,2,0,3
36,No,Non-Travel,894,Research & Development,1,4,Medical,1,1662,4,Female,33,2,2,Manufacturing Director,Married,4374,15411,0,Y,No,15,3,3,80,0,4,6,3,3,2,1,2
46,No,Travel_Rarely,1402,Sales,2,3,Marketing,1,1204,3,child,69,3,4,Manager,Married,17048,24097,8,Y,No,23,4,1,80,0,28,2,3,26,15,15,9
26,No,Travel_Rarely,991,Research & Development,6,3,Life Sciences,1,686,3,Female,71,3,1,Laboratory Technician,Married,2659,17759,1,Y,Yes,13,3,3,80,1,3,2,3,3,2,0,2
42,No,Travel_Rarely,300,Research & Development,2,3,Life Sciences,1,2031,1,Male,56,3,5,Manager,Married,18880,17312,5,Y,No,11,3,1,80,0,24,2,2,22,6,4,14
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,259,3,Male,65,2,5,Manager,Married,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,Male,42,3,5,Research Director,Married,18300,16375,4,Y,No,11,3,2,80,1,21,2,3,3,2,1,1
34,No,Travel_Rarely,167,Research & Development,8,5,Life Sciences,1,775,2,Female,32,3,2,Manufacturing Director,Divorced,5121,4187,3,Y,No,14,3,3,80,1,7,3,3,0,0,0,0
31,Yes,Travel_Frequently,874,Research & Development,15,3,Medical,1,1160,3,Male,72,3,1,Laboratory Technician,Married,2610,6233,1,Y,No,12,3,3,80,1,2,5,2,2,2,2,2
42,Yes,Travel_Frequently,481,Sales,12,3,Life Sciences,1,1167,3,Male,44,3,4,Sales Executive,Single,13758,2447,0,Y,Yes,12,3,2,80,0,22,2,2,21,9,13,14
48,Yes,Travel_Frequently,708,Sales,7,2,Medical,1,1691,4,Female,95,3,1,Sales Representative,Married,2655,11740,2,Y,Yes,11,3,3,80,2,19,3,3,9,7,7,7
55,Yes,Travel_Rarely,725,Research & Development,2,3,Medical,1,787,4,Male,78,3,5,Manager,Married,19859,21199,5,Y,Yes,13,3,4,80,1,24,2,3,5,2,1,4
27,No,Travel_Rarely,1302,Research & Development,19,3,Other,1,1619,4,Male,67,2,1,Laboratory Technician,Divorced,4066,16290,1,Y,No,11,3,1,80,2,7,3,3,7,7,0,7
40,No,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,1822,3,Female,52,3,2,Healthcare Representative,Divorced,6513,9060,4,Y,No,17,3,4,80,1,12,3,3,5,3,0,3
29,No,Travel_Rarely,1082,Research & Development,9,4,Medical,1,1709,4,Female,43,3,1,Laboratory Technician,Married,2974,25412,9,Y,No,17,3,3,80,1,9,2,3,5,3,1,2
31,Yes,Travel_Rarely,330,Research & Development,22,4,Medical,1,1389,4,Male,98,3,2,Manufacturing Director,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7
26,Yes,Travel_Rarely,1146,Sales,8,3,Technical Degree,1,796,4,Male,38,2,2,Sales Executive,Single,5326,3064,6,Y,No,17,3,3,80,0,6,2,2,4,3,1,2
30,Yes,Travel_Rarely,740,Sales,1,3,Life Sciences,1,1562,2,Male,64,2,2,Sales Executive,Married,9714,5323,1,Y,No,11,3,4,80,1,10,4,3,10,8,6,7
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
44,No,Travel_Frequently,1193,Research & Development,2,1,Medical,1,1496,2,Male,86,3,3,Manufacturing Director,Single,10209,19719,5,Y,Yes,18,3,2,80,0,16,2,2,2,2,2,2
37,No,Travel_Rarely,783,Research & Development,7,4,Medical,1,1885,4,Male,78,3,2,Research Scientist,Married,4284,13588,5,Y,Yes,22,4,3,80,1,16,2,3,5,3,0,4
34,No,Travel_Rarely,1239,Sales,13,4,Medical,1,1951,4,Male,39,3,3,Sales Executive,Divorced,8628,22914,1,Y,No,18,3,3,80,1,9,2,2,8,7,1,1
36,No,Travel_Rarely,430,Research & Development,2,4,Other,1,1847,4,Female,73,3,2,Research Scientist,Married,6962,19573,4,Y,Yes,22,4,4,80,1,15,2,3,1,0,0,0
31,No,Travel_Rarely,154,Sales,7,4,Life Sciences,1,941,2,Male,41,2,1,Sales Representative,Married,2329,11737,3,Y,No,15,3,2,80,0,13,2,4,7,7,5,2
35,No,Travel_Rarely,1224,Sales,7,4,Life Sciences,1,1962,3,child,55,3,2,Sales Executive,Married,5204,13586,1,Y,Yes,11,3,4,80,0,10,2,3,10,8,0,9
24,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,1,1714,4,Male,58,1,1,Human Resources,Married,1555,11585,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,338,3,Female,63,2,1,Research Scientist,Married,2911,14776,1,Y,No,13,3,3,80,1,2,2,2,2,2,0,2
55,No,Travel_Rarely,1136,Research & Development,1,4,Medical,1,1424,2,Male,81,4,4,Research Director,Divorced,14732,12414,2,Y,No,13,3,4,80,2,31,4,4,7,7,0,0
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,319,3,Male,58,3,5,Manager,Married,19232,4933,1,Y,No,11,3,4,80,0,22,3,3,22,17,11,15
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,228,2,Female,41,3,3,Sales Executive,Married,9419,8053,2,Y,No,12,3,3,80,1,12,2,3,10,9,7,4
36,No,Travel_Rarely,1266,Sales,10,4,Technical Degree,1,1880,2,Female,63,2,2,Sales Executive,Married,5673,6060,1,Y,Yes,13,3,1,80,1,10,4,3,10,9,1,7
29,No,Travel_Rarely,441,Research & Development,8,1,Other,1,1544,3,Female,39,1,2,Healthcare Representative,Married,9715,7288,3,Y,No,13,3,3,80,1,9,3,3,7,7,0,7
30,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,1,648,2,Male,74,2,1,Sales Representative,Married,2033,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
33,No,Travel_Rarely,1242,Sales,8,4,Life Sciences,1,1560,1,Male,46,3,2,Sales Executive,Married,6392,10589,2,Y,No,13,3,4,80,1,8,6,1,2,2,2,2
31,No,Travel_Rarely,1332,Research & Development,11,2,Medical,1,1251,3,Male,80,3,2,Healthcare Representative,Married,6833,17089,1,Y,Yes,12,3,4,80,0,6,2,2,6,5,0,1
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
29,No,Travel_Rarely,1252,Research & Development,23,2,Life Sciences,1,824,3,Male,81,4,1,Research Scientist,Married,2700,23779,1,Y,No,24,4,3,80,1,10,3,3,10,7,0,7
38,No,Travel_Rarely,130,Sales,2,2,Marketing,1,1125,4,Male,32,3,3,Sales Executive,Single,7351,20619,7,Y,No,16,3,3,80,0,10,2,3,1,0,0,0
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,1,208,4,Male,41,3,2,Manufacturing Director,Married,4319,26283,1,Y,No,13,3,1,80,1,10,1,3,10,7,0,9
22,No,Non-Travel,457,Research & Development,26,2,Other,1,1605,2,Female,85,2,1,Research Scientist,Married,2814,10293,1,Y,Yes,14,3,2,80,0,4,2,2,4,2,1,3
39,No,Travel_Rarely,1462,Sales,6,3,Medical,1,1588,4,Male,38,4,3,Sales Executive,Married,8237,4658,2,Y,No,11,3,1,80,1,11,3,3,7,6,7,6
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
46,No,Travel_Rarely,566,Research & Development,7,2,Medical,1,1007,4,Male,75,3,3,Manufacturing Director,Divorced,10845,24208,6,Y,No,13,3,2,80,1,13,3,3,8,7,0,7
50,No,Travel_Rarely,939,Research & Development,24,3,Life Sciences,1,1005,4,child,95,3,4,Manufacturing Director,Married,13973,4161,3,Y,Yes,18,3,4,80,1,22,2,3,12,11,1,5
36,No,Travel_Rarely,530,Sales,2,4,Life Sciences,1,1710,3,Female,51,3,2,Sales Representative,Single,4502,7439,3,Y,No,15,3,3,80,0,17,2,2,13,7,6,7
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,1,269,2,Female,37,3,2,Laboratory Technician,Single,4425,15986,5,Y,No,11,3,4,80,0,10,5,3,6,2,1,2
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
38,Yes,Travel_Rarely,903,Research & Development,2,3,Medical,1,1573,3,Male,81,3,2,Manufacturing Director,Married,4855,7653,4,Y,No,11,3,1,80,2,7,2,3,5,2,1,4
37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391,4,Female,42,3,1,Research Scientist,Single,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,child,46,4,1,Laboratory Technician,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,child,30,4,4,Manager,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
31,No,Travel_Rarely,525,Sales,6,4,Medical,1,653,1,Male,66,4,2,Sales Executive,Divorced,5460,6219,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7
39,No,Non-Travel,439,Research & Development,9,3,Life Sciences,1,1132,3,Male,70,3,2,Laboratory Technician,Single,6782,8770,9,Y,No,15,3,3,80,0,9,2,2,5,4,0,3
48,No,Travel_Rarely,1108,Research & Development,15,4,Other,1,1576,3,Female,65,3,1,Research Scientist,Married,2367,16530,8,Y,No,12,3,4,80,1,10,3,2,8,2,7,6
35,No,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,1,691,2,child,82,1,2,Research Scientist,Single,6646,19368,1,Y,No,13,3,2,80,0,17,3,3,17,11,11,8
29,No,Travel_Rarely,1246,Sales,19,3,Life Sciences,1,1497,3,Male,77,2,2,Sales Executive,Divorced,8620,23757,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
40,No,Non-Travel,458,Research & Development,16,2,Life Sciences,1,1340,3,Male,74,3,1,Research Scientist,Divorced,3544,8532,9,Y,No,16,3,2,80,1,6,0,3,4,2,0,0
58,No,Travel_Frequently,1216,Research & Development,15,4,Life Sciences,1,1837,1,Male,87,3,4,Research Director,Married,15787,21624,2,Y,Yes,14,3,2,80,0,23,3,3,2,2,2,2
35,No,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,1,826,4,child,40,4,1,Research Scientist,Single,2506,13301,3,Y,No,13,3,3,80,0,7,0,3,2,2,2,2
40,No,Travel_Rarely,118,Sales,14,2,Life Sciences,1,1598,4,Female,84,3,2,Sales Executive,Married,4639,11262,1,Y,No,15,3,3,80,1,5,2,3,5,4,1,2
45,No,Travel_Rarely,950,Research & Development,28,3,Technical Degree,1,1546,4,Male,97,3,1,Research Scientist,Married,2132,4585,4,Y,No,20,4,4,80,1,8,3,3,5,4,0,3
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,Married,6272,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4
35,Yes,Travel_Rarely,763,Sales,15,2,Medical,1,1645,1,Male,59,1,2,Sales Executive,Divorced,5440,22098,6,Y,Yes,14,3,4,80,2,7,2,2,2,2,2,2
33,No,Travel_Frequently,508,Sales,10,3,Marketing,1,446,2,Male,46,2,2,Sales Executive,Single,4682,4317,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1
29,Yes,Travel_Rarely,806,Research & Development,7,3,Technical Degree,1,1299,2,Female,39,3,1,Laboratory Technician,Divorced,3339,17285,3,Y,Yes,13,3,1,80,2,10,2,3,7,7,7,7
37,No,Travel_Rarely,367,Research & Development,25,2,Medical,1,1161,3,Female,52,2,2,Healthcare Representative,Divorced,5731,17171,7,Y,No,13,3,3,80,2,9,2,3,6,2,1,3
47,Yes,Travel_Frequently,1093,Sales,9,3,Life Sciences,1,1716,3,Male,82,1,4,Sales Executive,Married,12936,24164,7,Y,No,11,3,3,80,0,25,3,1,23,5,14,10
39,No,Non-Travel,105,Research & Development,9,3,Life Sciences,1,2022,4,Male,87,3,5,Manager,Single,19431,15302,2,Y,No,13,3,3,80,0,21,3,2,6,0,1,3
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
43,No,Travel_Rarely,1179,Sales,2,3,Medical,1,1706,4,Male,73,3,2,Sales Executive,Married,7847,6069,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8
25,Yes,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,4,Male,32,3,1,Laboratory Technician,Married,3691,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,58,3,1,Human Resources,Divorced,2741,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,299,3,Female,52,2,2,Sales Executive,Single,6696,22967,5,Y,No,15,3,3,80,0,9,5,2,6,3,0,1
30,No,Travel_Rarely,241,Research & Development,7,3,Medical,1,1609,2,Male,48,2,1,Research Scientist,Married,2141,5348,1,Y,No,12,3,2,80,1,6,3,2,6,4,1,1
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,335,1,Male,62,3,2,Research Scientist,Divorced,3319,24447,1,Y,No,17,3,1,80,2,9,3,3,9,8,4,7
24,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,1746,1,Male,59,3,1,Human Resources,Married,2145,2097,0,Y,No,14,3,4,80,1,3,2,3,2,2,2,1
39,Yes,Travel_Rarely,1122,Research & Development,6,3,Medical,1,932,4,Male,70,3,1,Laboratory Technician,Married,2404,4303,7,Y,Yes,21,4,4,80,0,8,2,1,2,2,2,2
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
42,No,Travel_Rarely,932,Research & Development,1,2,Life Sciences,1,827,4,Female,43,2,2,Manufacturing Director,Married,6062,4051,9,Y,Yes,13,3,4,80,1,8,4,3,4,3,0,2
27,No,Travel_Rarely,155,Research & Development,4,3,Life Sciences,1,2064,2,Male,87,4,2,Manufacturing Director,Married,6142,5174,1,Y,Yes,20,4,2,80,1,6,0,3,6,2,0,3
29,No,Travel_Frequently,574,Research & Development,20,1,Medical,1,1852,4,Male,40,3,1,Laboratory Technician,Married,3812,7003,1,Y,No,13,3,2,80,0,11,3,4,11,8,3,10
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,2,Female,59,3,3,Manufacturing Director,Single,7491,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2
54,No,Travel_Rarely,431,Research & Development,7,4,Medical,1,1830,4,Female,68,3,2,Research Scientist,Married,6854,15696,4,Y,No,15,3,2,80,1,14,2,2,7,1,1,7
45,No,Non-Travel,589,Sales,2,4,Life Sciences,1,1845,3,Female,67,3,2,Sales Executive,Married,5154,19665,4,Y,No,22,4,2,80,2,10,3,4,8,7,5,7
35,No,Travel_Frequently,146,Research & Development,2,4,Medical,1,1704,1,Male,79,2,1,Research Scientist,Single,4930,13970,0,Y,Yes,14,3,3,80,0,6,2,4,5,4,1,4
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,1,283,2,Female,35,3,3,Sales Executive,Married,7639,24525,1,Y,No,22,4,4,80,3,10,3,2,10,4,1,9
32,No,Travel_Rarely,495,Research & Development,10,3,Medical,1,1516,3,Male,64,3,3,Manager,Single,11244,21072,2,Y,No,25,4,2,80,0,10,5,4,5,2,0,0
41,No,Travel_Frequently,1200,Research & Development,22,3,Life Sciences,1,1392,4,Female,75,3,2,Research Scientist,Divorced,5467,13953,3,Y,Yes,14,3,1,80,2,12,4,2,6,2,3,3
45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,97,3,3,Laboratory Technician,Divorced,5210,20308,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11
27,No,Travel_Rarely,486,Research & Development,8,3,Medical,1,1647,2,Female,86,4,1,Research Scientist,Married,3517,22490,7,Y,No,17,3,1,80,0,5,0,3,3,2,0,2
34,No,Travel_Frequently,735,Research & Development,22,4,Other,1,1932,3,Male,86,2,2,Research Scientist,Married,5747,26496,1,Y,Yes,15,3,2,80,0,16,3,3,15,10,6,11
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
34,No,Travel_Rarely,937,Sales,1,3,Marketing,1,1950,1,Male,32,3,3,Sales Executive,Single,9888,6770,1,Y,No,21,4,1,80,0,14,3,2,14,8,2,1
