Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,1,321,2,child,52,3,1,Human Resources,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2
48,No,Travel_Frequently,365,Research & Development,4,5,Medical,1,1644,3,Male,89,2,4,Manager,Married,15202,5602,2,Y,No,25,4,2,80,1,23,3,3,2,2,2,2
31,No,Travel_Rarely,1062,Research & Development,24,3,Medical,1,1252,3,Female,96,2,2,Healthcare Representative,Single,6812,17198,1,Y,No,19,3,2,80,0,10,2,3,10,9,1,8
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,Divorced,5257,6227,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0
40,No,Travel_Frequently,1184,Sales,2,4,Medical,1,1212,2,Male,62,3,2,Sales Executive,Married,4327,25440,5,Y,No,12,3,4,80,3,5,2,3,0,0,0,0
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,child,92,3,2,Sales Executive,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
41,No,Travel_Rarely,447,Research & Development,5,3,Life Sciences,1,1814,2,Male,85,4,2,Healthcare Representative,Single,6870,15530,3,Y,No,12,3,1,80,0,11,3,1,3,2,1,2
38,No,Travel_Rarely,201,Research & Development,10,3,Medical,1,2015,2,Female,99,1,3,Research Director,Married,13206,3376,3,Y,No,12,3,1,80,1,20,3,3,18,16,1,11
34,No,Travel_Rarely,1480,Sales,4,3,Life Sciences,1,1882,3,Male,64,3,3,Sales Executive,Married,9713,24444,2,Y,Yes,13,3,4,80,3,9,3,3,5,3,1,0
37,No,Travel_Rarely,367,Research & Development,25,2,Medical,1,1161,3,Female,52,2,2,Healthcare Representative,Divorced,5731,17171,7,Y,No,13,3,3,80,2,9,2,3,6,2,1,3
21,Yes,Travel_Rarely,337,Sales,7,1,Marketing,1,1780,2,Male,31,3,1,Sales Representative,Single,2679,4567,1,Y,No,13,3,2,80,0,1,3,3,1,0,1,0
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,1,258,4,Female,98,3,4,Healthcare Representative,Single,13734,7192,3,Y,No,18,3,3,80,0,21,6,3,7,7,1,0
36,Yes,Travel_Rarely,1456,Sales,13,5,Marketing,1,1733,2,Male,96,2,2,Sales Executive,Divorced,6134,8658,5,Y,Yes,13,3,2,80,3,16,3,3,2,2,2,2
26,No,Travel_Frequently,921,Research & Development,1,1,Medical,1,1068,1,Female,66,2,1,Research Scientist,Divorced,2007,25265,1,Y,No,13,3,3,80,2,5,5,3,5,3,1,3
36,No,Travel_Rarely,530,Sales,2,4,Life Sciences,1,1710,3,Female,51,3,2,Sales Representative,Single,4502,7439,3,Y,No,15,3,3,80,0,17,2,2,13,7,6,7
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,1,605,4,Male,56,3,3,Manufacturing Director,Married,7406,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,child,81,4,1,Laboratory Technician,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
32,No,Travel_Rarely,977,Research & Development,2,3,Medical,1,1671,4,Male,45,3,2,Research Scientist,Divorced,5470,25518,0,Y,No,13,3,3,80,2,10,4,2,9,5,1,6
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437,4,Male,74,3,2,Sales Executive,Single,4478,5242,1,Y,Yes,11,3,1,80,0,5,3,3,5,4,0,4
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,287,4,Male,63,2,2,Healthcare Representative,Married,4876,14242,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
43,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,1,430,3,Female,33,3,1,Laboratory Technician,Single,2455,10675,0,Y,No,19,3,1,80,0,9,5,3,8,7,1,7
51,No,Travel_Rarely,1405,Research & Development,11,2,Technical Degree,1,1367,4,Female,82,2,4,Manufacturing Director,Single,13142,24439,3,Y,No,16,3,2,80,0,29,1,2,5,2,0,3
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
36,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,397,3,Male,30,3,2,Research Scientist,Single,4485,26285,4,Y,No,12,3,4,80,0,10,2,3,8,0,7,7
30,No,Non-Travel,879,Research & Development,9,2,Medical,1,1298,3,Female,72,3,2,Manufacturing Director,Single,4695,12858,7,Y,Yes,18,3,3,80,0,10,3,3,8,4,1,7
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,child,82,2,1,Research Scientist,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
55,No,Travel_Rarely,836,Research & Development,2,4,Technical Degree,1,1873,2,Male,98,2,1,Research Scientist,Married,2662,7975,8,Y,No,20,4,2,80,1,19,2,4,5,2,0,4
44,No,Travel_Rarely,986,Research & Development,8,4,Life Sciences,1,874,1,Male,62,4,1,Laboratory Technician,Married,2818,5044,2,Y,Yes,24,4,3,80,1,10,2,2,3,2,0,2
40,No,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,1628,1,Female,80,2,3,Manufacturing Director,Married,10435,25800,1,Y,No,13,3,4,80,2,18,2,3,18,15,14,12
29,No,Travel_Frequently,442,Sales,2,2,Life Sciences,1,388,2,child,44,3,2,Sales Executive,Single,4554,20260,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9
29,No,Travel_Frequently,1404,Sales,20,3,Technical Degree,1,974,3,Female,84,3,1,Sales Representative,Married,2157,18203,1,Y,No,15,3,2,80,1,3,5,3,3,1,0,2
29,No,Travel_Frequently,995,Research & Development,2,1,Life Sciences,1,1590,1,Male,87,3,2,Healthcare Representative,Divorced,8853,24483,1,Y,No,19,3,4,80,1,6,0,4,6,4,1,3
30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,Single,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0
32,No,Travel_Frequently,1318,Sales,10,4,Marketing,1,1853,4,Male,79,3,2,Sales Executive,Single,4648,26075,8,Y,No,13,3,3,80,0,4,2,4,0,0,0,0
35,No,Travel_Rarely,819,Research & Development,2,3,Life Sciences,1,1182,3,Male,44,2,3,Manufacturing Director,Divorced,10274,19588,2,Y,No,18,3,2,80,1,15,2,4,7,7,6,4
44,No,Travel_Rarely,625,Research & Development,4,3,Medical,1,852,4,Male,50,3,2,Healthcare Representative,Single,5933,5197,9,Y,No,12,3,4,80,0,10,2,2,5,2,2,3
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,Male,88,2,4,Manager,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
31,No,Travel_Frequently,793,Sales,20,3,Life Sciences,1,1135,3,Male,67,4,1,Sales Representative,Married,2791,21981,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2
33,No,Travel_Rarely,536,Sales,10,5,Marketing,1,1268,4,Male,82,4,3,Sales Executive,Divorced,8380,21708,0,Y,Yes,14,3,4,80,2,10,3,3,9,8,0,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
42,No,Travel_Rarely,469,Research & Development,2,2,Medical,1,1109,4,Male,35,3,4,Manager,Married,17665,14399,0,Y,No,17,3,4,80,1,23,3,3,22,6,13,7
34,No,Travel_Rarely,829,Human Resources,3,2,Human Resources,1,847,3,Male,88,3,1,Human Resources,Married,3737,2243,0,Y,No,19,3,3,80,1,4,1,1,3,2,0,2
48,No,Travel_Rarely,1469,Research & Development,20,4,Medical,1,945,4,child,51,3,1,Research Scientist,Married,2259,5543,4,Y,No,17,3,1,80,2,13,2,2,0,0,0,0
