Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39.0,Yes,Travel_Rarely,360,Research & Development,23,3,Medical,1,1310,3,93,3,1,Research Scientist,1,Single,3904,22154,0,Y,No,13,3,1,80,0,6,2,3,5,2,0,3
30.0,No,Travel_Rarely,1138,Research & Development,6,3,Technical Degree,1,1311,1,48,2,2,Laboratory Technician,4,Married,4627,23631,0,Y,No,12,3,1,80,1,10,6,3,9,2,6,7
36.0,No,Travel_Rarely,325,Research & Development,10,4,Technical Degree,1,1312,4,63,3,3,Healthcare Representative,3,Married,7094,5747,3,Y,No,12,3,1,80,0,10,0,3,7,7,1,7
46.0,No,Travel_Rarely,991,Human Resources,1,2,Life Sciences,1,1314,4,44,3,1,Human Resources,1,Single,3423,22957,6,Y,No,12,3,3,80,0,10,3,4,7,6,5,7
28.0,No,Non-Travel,1476,Research & Development,1,3,Life Sciences,1,1315,3,55,1,2,Laboratory Technician,4,Married,6674,16392,0,Y,No,11,3,1,80,3,10,6,3,9,8,7,5
50.0,No,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,1,1317,4,43,3,4,Research Director,1,Married,16880,22422,4,Y,Yes,11,3,2,80,0,25,2,3,3,2,1,2
40.0,Yes,Travel_Rarely,299,Sales,25,4,Marketing,1,1318,4,57,2,3,Sales Executive,2,Single,9094,17235,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0
52.0,Yes,Travel_Rarely,1030,Sales,5,3,Life Sciences,1,1319,2,64,3,3,Sales Executive,2,Single,8446,21534,9,Y,Yes,19,3,3,80,0,10,2,2,8,7,7,7
30.0,No,Travel_Rarely,634,Research & Development,17,4,Medical,1,1321,2,95,3,3,Manager,1,Married,11916,25927,1,Y,Yes,23,4,4,80,2,9,2,3,9,1,0,8
39.0,No,Travel_Rarely,524,Research & Development,18,2,Life Sciences,1,1322,1,32,3,2,Manufacturing Director,3,Single,4534,13352,0,Y,No,11,3,1,80,0,9,6,3,8,7,1,7
