Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23.0,No,Travel_Rarely,373,Research & Development,1,2,Life Sciences,1,1270,4,47,3,1,Research Scientist,3,Married,1223,16901,1,Y,No,22,4,4,80,1,1,2,3,1,0,0,1
25.0,Yes,Travel_Frequently,599,Sales,24,1,Life Sciences,1,1273,3,73,1,1,Sales Representative,4,Single,1118,8040,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0
26.0,No,Travel_Rarely,583,Research & Development,4,2,Life Sciences,1,1275,3,53,3,1,Research Scientist,4,Single,2875,9973,1,Y,Yes,20,4,2,80,0,8,2,2,8,5,2,2
45.0,Yes,Travel_Rarely,1449,Sales,2,3,Marketing,1,1277,1,94,1,5,Manager,2,Single,18824,2493,2,Y,Yes,16,3,1,80,0,26,2,3,24,10,1,11
55.0,No,Non-Travel,177,Research & Development,8,1,Medical,1,1278,4,37,2,4,Healthcare Representative,2,Divorced,13577,25592,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0
21.0,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,45,2,1,Laboratory Technician,3,Single,2625,25308,1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2
46.0,No,Travel_Rarely,168,Sales,4,2,Marketing,1,1280,4,33,2,5,Manager,2,Married,18789,9946,2,Y,No,14,3,3,80,1,26,2,3,11,4,0,8
34.0,No,Travel_Rarely,131,Sales,2,3,Marketing,1,1281,3,86,3,2,Sales Executive,1,Single,4538,6039,0,Y,Yes,12,3,4,80,0,4,3,3,3,2,0,2
51.0,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,1282,4,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Yes,24,4,1,80,1,31,5,2,29,10,11,10
59.0,No,Travel_Rarely,1429,Research & Development,18,4,Medical,1,1283,4,67,3,3,Manufacturing Director,4,Single,10512,20002,6,Y,No,12,3,4,80,0,25,6,2,9,7,5,4
