Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51.0,No,Travel_Frequently,968,Research & Development,6,2,Medical,1,1297,2,40,2,1,Laboratory Technician,3,Single,2838,4257,0,Y,No,14,3,2,80,0,8,6,2,7,0,7,7
30.0,No,Non-Travel,879,Research & Development,9,2,Medical,1,1298,3,72,3,2,Manufacturing Director,3,Single,4695,12858,7,Y,Yes,18,3,3,80,0,10,3,3,8,4,1,7
29.0,Yes,Travel_Rarely,806,Research & Development,7,3,Technical Degree,1,1299,2,39,3,1,Laboratory Technician,3,Divorced,3339,17285,3,Y,Yes,13,3,1,80,2,10,2,3,7,7,7,7
28.0,No,Travel_Rarely,640,Research & Development,1,3,Technical Degree,1,1301,4,84,3,1,Research Scientist,1,Single,2080,4732,2,Y,No,11,3,2,80,0,5,2,2,3,2,1,2
25.0,No,Travel_Rarely,266,Research & Development,1,3,Medical,1,1303,4,40,3,1,Research Scientist,2,Single,2096,18830,1,Y,No,18,3,4,80,0,2,3,2,2,2,2,1
32.0,No,Travel_Rarely,604,Sales,8,3,Medical,1,1304,3,56,4,2,Sales Executive,4,Married,6209,11693,1,Y,No,15,3,3,80,2,10,4,4,10,7,0,8
45.0,No,Travel_Frequently,364,Research & Development,25,3,Medical,1,1306,2,83,3,5,Manager,2,Single,18061,13035,3,Y,No,22,4,3,80,0,22,4,3,0,0,0,0
39.0,No,Travel_Rarely,412,Research & Development,13,4,Medical,1,1307,3,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2
58.0,No,Travel_Rarely,848,Research & Development,23,4,Life Sciences,1,1308,1,88,3,1,Research Scientist,3,Divorced,2372,26076,1,Y,No,12,3,4,80,2,2,3,3,2,2,2,2
32.0,Yes,Travel_Rarely,1089,Research & Development,7,2,Life Sciences,1,1309,4,79,3,2,Laboratory Technician,3,Married,4883,22845,1,Y,No,18,3,1,80,1,10,3,3,10,4,1,1
