Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28.0,Yes,Travel_Frequently,1009,Research & Development,1,3,Medical,1,1111,1,45,2,1,Laboratory Technician,2,Divorced,2596,7160,1,Y,No,15,3,1,80,2,1,2,3,1,0,0,0
50.0,Yes,Travel_Frequently,959,Sales,1,4,Other,1,1113,4,81,3,2,Sales Executive,3,Single,4728,17251,3,Y,Yes,14,3,4,80,0,5,4,3,0,0,0,0
33.0,No,Travel_Frequently,970,Sales,7,3,Life Sciences,1,1114,4,30,3,2,Sales Executive,2,Married,4302,13401,0,Y,No,17,3,3,80,1,4,3,3,3,2,0,2
34.0,No,Non-Travel,697,Research & Development,3,4,Life Sciences,1,1115,3,40,2,1,Research Scientist,4,Married,2979,22478,3,Y,No,17,3,4,80,3,6,2,3,0,0,0,0
48.0,No,Non-Travel,1262,Research & Development,1,4,Medical,1,1116,1,35,4,4,Manager,4,Single,16885,16154,2,Y,No,22,4,3,80,0,27,3,2,5,4,2,1
45.0,No,Non-Travel,1050,Sales,9,4,Life Sciences,1,1117,2,65,2,2,Sales Executive,3,Married,5593,17970,1,Y,No,13,3,4,80,1,15,2,3,15,10,4,12
52.0,No,Travel_Rarely,994,Research & Development,7,4,Life Sciences,1,1118,2,87,3,3,Healthcare Representative,2,Single,10445,15322,7,Y,No,19,3,4,80,0,18,4,3,8,6,4,0
38.0,No,Travel_Rarely,770,Sales,10,4,Marketing,1,1119,3,73,2,3,Sales Executive,3,Divorced,8740,5569,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7
29.0,No,Travel_Rarely,1107,Research & Development,28,4,Life Sciences,1,1120,3,93,3,1,Research Scientist,4,Divorced,2514,26968,4,Y,No,22,4,1,80,1,11,1,3,7,5,1,7
28.0,No,Travel_Rarely,950,Research & Development,3,3,Medical,1,1121,4,93,3,3,Manufacturing Director,2,Divorced,7655,8039,0,Y,No,17,3,2,80,3,10,3,2,9,7,1,7
