Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
52.0,No,Non-Travel,715,Research & Development,19,4,Medical,1,791,4,41,3,1,Research Scientist,4,Married,4258,26589,0,Y,No,18,3,1,80,1,5,3,3,4,3,1,2
26.0,No,Travel_Frequently,575,Research & Development,1,2,Life Sciences,1,792,1,71,1,1,Laboratory Technician,4,Divorced,4364,5288,3,Y,No,14,3,1,80,1,5,2,3,2,2,2,0
29.0,No,Travel_Rarely,657,Research & Development,27,3,Medical,1,793,2,66,3,2,Healthcare Representative,3,Married,4335,25549,4,Y,No,12,3,1,80,1,11,3,2,8,7,1,1
26.0,Yes,Travel_Rarely,1146,Sales,8,3,Technical Degree,1,796,4,38,2,2,Sales Executive,1,Single,5326,3064,6,Y,No,17,3,3,80,0,6,2,2,4,3,1,2
34.0,No,Travel_Rarely,182,Research & Development,1,4,Life Sciences,1,797,2,72,4,1,Research Scientist,4,Single,3280,13551,2,Y,No,16,3,3,80,0,10,2,3,4,2,1,3
54.0,No,Travel_Rarely,376,Research & Development,19,4,Medical,1,799,4,95,3,2,Manufacturing Director,1,Divorced,5485,22670,9,Y,Yes,11,3,2,80,2,9,4,3,5,3,1,4
27.0,No,Travel_Frequently,829,Sales,8,1,Marketing,1,800,3,84,3,2,Sales Executive,4,Married,4342,24008,0,Y,No,19,3,2,80,1,5,3,3,4,2,1,1
37.0,No,Travel_Rarely,571,Research & Development,10,1,Life Sciences,1,802,4,82,3,1,Research Scientist,1,Divorced,2782,19905,0,Y,Yes,13,3,2,80,2,6,3,2,5,3,4,3
38.0,No,Travel_Frequently,240,Research & Development,2,4,Life Sciences,1,803,1,75,4,2,Manufacturing Director,1,Single,5980,26085,6,Y,Yes,12,3,4,80,0,17,2,3,15,7,4,12
34.0,No,Travel_Rarely,121,Research & Development,2,4,Medical,1,804,3,86,2,1,Research Scientist,1,Single,4381,7530,1,Y,No,11,3,3,80,0,6,3,3,6,5,1,3
